爱不释手,àibùshìshǒu,can’t put it down
矮穷丑,ǎiqióngchǒu,short-poor-ugly guy
唉声叹气,āishēngtànqì,sigh deeply
碍于交情,àiyújiāoqíng,out of friendship / due to relations
昂贵,ángguì,expensive
按喇叭,ànlǎbā,honk a horn
安理会,ĀnLǐHuì,UN Security Council
安全帽,ānquánmào,safety helmet
安全气囊,ānquánqìnáng,airbag
暗示,ànshì,hint
安置点,ānzhìdiǎn,relief center / resettlement site
安装盘,ānzhuāngpán,installation disk
奥迪,Àodí,Audi
奥秘,àomì,mystery
白道,báidào,legit business
百分比,bǎifēnbǐ,percentage
白富美,báifùměi,fair-rich-beautiful woman
白高兴一场,báigāoxìngyīchǎng,be happy for nothing
白来了,báiláile,came for nothing
白领,báilǐng,white-collar worker
白拿,báiná,take for free
摆设,bǎishè,decoration / display
摆设,bǎishè,decoration / display
八零后,bālínghòu,people born in the 1980s
半边天,bànbiāntiān,half the sky (women)
班次,bāncì,service frequency
伴侣,bànlǚ,partner
半球,bànqiú,baseball
半途而废,bàntúérfèi,give up halfway
半途而废,bàntúérfèi,give up halfway
伴奏,bànzòu,accompaniment
报废,bàofèi,scrap / write off
抱负,bàofù,ambition
曝光,bàoguāng,exposure
包含,bāohán,contain
包括,bāokuò,include
包括,bāokuò,include
宝莱坞,bǎoláiwù,Bollywood
暴力,bàolì,violence
保留,bǎoliú,reserve / keep
保留,bǎoliú,retain
保暖,bǎonuǎn,keep warm
饱受惊吓,bǎoshòujīngxià,be severely frightened
保卫,bǎowèi,defend
保险丝断,bǎoxiǎnsīduàn,the fuse is blown
抱怨,bàoyuàn,to complain
暴躁,bàozào,irritable
爆炸物,bàozhàwù,explosives
包装拆开,bāozhuāngchāikāi,packaging opened
包装纸,bāozhuāngzhǐ,wrapping paper
被逼,bèibī,forced
被逼,bèibī,be forced
被踩,bèicǎi,get stepped on
贝多芬,Bèiduōfēn,Beethoven
被关,bèiguān,be locked up
贝斯,bèisī,bass (instrument)
被撞,bèizhuàng,be hit (by a vehicle)
本分,běnfèn,one’s proper duty
本领,běnlǐng,ability / skill
本命年,běnmìngnián,the year of one’s animal sign
本然,běnrán,innate
笨手笨脚,bènshǒubènjiǎo,clumsy
本土化,běntǔhuà,localization
编号,biānhào,identification number
便利店,biànlìdiàn,convenience store
辩论,biànlùn,debate
变迁,biànqiān,changes over time
变色龙,biànsèlóng,chameleon
飙车,biāochē,street racing / speed recklessly
表格,biǎogé,spreadsheet
表现,biǎoxiàn,performance
弊端,bìduān,drawback
弊端,bìduān,drawback
比对,bǐduì,compare / match
比方说,bǐfāngshuō,for example
毕竟,bìjìng,after all
壁垒,bìlěi,barrier
笔录,bǐlù,official record / statement
避免,bìmiǎn,avoid
并购,bìnggòu,merger & acquisition
病例,bìnglì,case (medical)
并排,bìngpái,side by side
病入膏肓,bìngrùgāohuāng,terminally ill
病痛,bìngtòng,illness and pain
病亡人数,bìngwángrénshù,number of deaths from illness
避税,bìshuì,tax avoidance
鼻子是挺,bízishìtǐng,the nose is high/straight
泊车,bóchē,park a vehicle
博客,bókè,blog
玻璃心,bōlixīn,overly sensitive
波音,Bōyīn,Boeing
补充,bǔchōng,supplement
不到位,búdàowèi,not adequate / not in place
不法分子,bùfǎfènzǐ,lawbreaker
不发一语,bùfāyīyǔ,not say a word
不干不净,bùgānbùjìng,dirty / unclean
不合算,bùhésuàn,not cost-effective
不及,bùjí,fall short of
不仅是,bùjǐnshì,not only
补给线,bǔjǐxiàn,supply line
不靠谱,bùkàopǔ,unreliable
不灵,bùlíng,doesn't work
不免而来,bùmiǎnérlái,inevitably come (likely 不免而来)
不去也罢,bùqùyěbà,might as well not go
不爽,bùshuǎng,annoyed
不体面,bùtǐmiàn,undignified / not decent
不凶,bùxiōng,not fierce
不要理我,búyàolǐwǒ,don’t mind me
不要太得意,búyàotàidéyì,don’t be too proud
不一致,bùyīzhì,inconsistent
不愿意,búyuànyì,unwilling
不知所措,bùzhīsuǒcuò,at a loss
不自觉的,bùzìjuéde,unconsciously
猜测,cāicè,speculate
彩灯,cǎidēng,colorful lights
彩电,cǎidiàn,color TV
菜鸟,càiniǎo,newbie
财务,cáiwù,finance
参观,cānguān,to visit (a place)
惨状,cǎnzhuàng,miserable state
草菅人命,cǎojiānrénmìng,disregard human life
策略,cèlüè,strategy
层面,céngmiàn,level
曾是,céngshì,once was
差距,chājù,gap / difference
潺潺,chánchán,murmuring (water)
嫦娥,Chángé,Chang’e (moon goddess)
场合,chǎnghé,occasion
长期记忆,chángqījìyì,long-term memory
产品线,chǎnpǐnxiàn,product line
缠着,chánzhe,cling to / pester
朝代,cháodài,dynasty
超过,chāoguò,exceed/surpass
吵架,chǎojià,argue / quarrel
抄袭,chāoxí,plagiarize
炒鱿鱼,chǎoyóuyú,get fired
炒作,chǎozuò,hype
插座,chāzuò,electrical outlet
成本,chéngběn,cost
称呼,chēnghu,to address (how to call a person)
成家,chéngjiā,start a family
成见,chéngjiàn,prejudice
诚聘,chéngpìn,sincerely hiring
成全他们,chéngquántāmen,help them fulfill (their wish)
撑伞,chēngsǎn,hold an umbrella
成熟,chéngshú,mature
成熟稳定,chéngshúwěndìng,mature and steady/stable
承先启后,chéngxiānqǐhòu,carry on past achievements and pave the way for the future
程序,chéngxù,computer program
晨间体验,chénjiāntǐyàn,morning experience
趁机会,chènjīhuì,take the opportunity
沉浸式,chénjìnshì,immersive
晨型人,chénxíngrén,morning person
沉醉,chénzuì,be intoxicated / immersed
车企,chēqǐ,automobile manufacturer
迟到早退,chídàozǎotuì,arrive late and leave early
吃光,chīguāng,eat up
吃土,chītǔ,be broke
冲,chōng,rinse
宠坏孩子,chǒnghuàiháizi,spoil a child
充足,chōngzú,sufficient
仇富,chóufù,hatred of the rich
臭屁,chòupì,conceited / smug
揣摩,chuǎimó,try to figure out
船到桥头自然直,chuándàoqiáotóuzìránzhí,things will sort themselves out
床垫,chuángdiàn,mattress
创意,chuàngyì,creativity
传说,chuánshuō,legend
传闻,chuánwén,rumor
传闻,chuánwén,rumor
穿小鞋,chuānxiǎoxié,make things difficult for someone
初步核算,chūbùhésuàn,preliminary calculation
出轨,chūguǐ,cheat / have an affair
吹捧,chuīpěng,flatter
触控,chùkòng,touch control
